ANTIBIOTIC,ORGANISM,GENE,LOCATION
Rifampicin,Mycobacterium tuberculosis ,rpoB,Canada 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hong Kong
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Mexico
Rifampicin,Mycobacterium tuberculosis ,rpoB,Mexico
Rifampicin,Mycobacterium tuberculosis ,rpoB,Mexico
Rifampicin,Mycobacterium tuberculosis ,rpoB,Morocco
Rifampicin,Mycobacterium tuberculosis ,rpoB,Morocco
Rifampicin,Mycobacterium tuberculosis ,rpoB,Morocco
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,New Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,New Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,Peru 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Peru 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Philippines
Rifampicin,Mycobacterium tuberculosis ,rpoB,Poland
Rifampicin,Mycobacterium tuberculosis ,rpoB,Rwanda 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Rwanda 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Santa Catarina in southern Brazil
Rifampicin,Mycobacterium tuberculosis ,rpoB,Santa Catarina in southern Brazil
Rifampicin,Mycobacterium tuberculosis ,rpoB,Santa Catarina in southern Brazil
Rifampicin,Mycobacterium tuberculosis ,rpoB,South Africa
Rifampicin,Mycobacterium tuberculosis ,rpoB,South Africa
Rifampicin,Mycobacterium tuberculosis ,rpoB,South Africa
Rifampicin,Mycobacterium tuberculosis ,rpoB,South Africa
Rifampicin,Mycobacterium tuberculosis ,rpoB,South Africa
Rifampicin,Mycobacterium tuberculosis ,rpoB,Switzerland 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Thailand
Rifampicin,Mycobacterium tuberculosis ,rpoB,Thailand
Rifampicin,Mycobacterium tuberculosis ,rpoB,Thailand
Rifampicin,Mycobacterium tuberculosis ,rpoB,Turkey
Rifampicin,Mycobacterium tuberculosis ,rpoB,Turkey
Rifampicin,Mycobacterium tuberculosis ,rpoB,Turkey
Rifampicin,Mycobacterium tuberculosis ,rpoB,Turkey
Rifampicin,Mycobacterium tuberculosis ,rpoB,United States
Rifampicin,Mycobacterium tuberculosis ,rpoB,United States
Rifampicin,Mycobacterium tuberculosis ,rpoB,United States
Rifampicin,Mycobacterium tuberculosis ,rpoB,United States
Rifampicin,Mycobacterium tuberculosis ,rpoB,West of Iran
Rifampicin,Mycobacterium tuberculosis ,rpoB,West of Iran
Rifampicin,Mycobacterium tuberculosis ,rpoB,West of Iran
Rifampicin,Mycobacterium tuberculosis ,rpoB,Yemen 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Russia
Rifampicin,Mycobacterium tuberculosis ,rpoB,Russia
Rifampicin,Mycobacterium tuberculosis ,rpoB,Russia
Rifampicin,Mycobacterium tuberculosis ,rpoB,Russia
Rifampicin,Mycobacterium tuberculosis ,rpoB,United States
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,Beijing in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Beijing in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Beijing in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Beijing in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Canada 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Clamart in  France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,Delhi in  India
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,eastern China
Rifampicin,Mycobacterium tuberculosis ,rpoB,France
Rifampicin,Mycobacterium tuberculosis ,rpoB,France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Germany
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hebei Province in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hong Kong
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hong Kong
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
Rifampicin,Mycobacterium tuberculosis ,rpoB,Japan
